ID;project;merge commit;className;method;left modifications;right modifications;Summary of changes made by left;Summary of changes made by right;LOI;conflict;explanation
89;spring-boot;2d4e68a9777601bfb8309c94d8b74bc21be80ad1;org.springframework.boot.context.embedded.tomcat.TomcatEmbeddedServletContainerFactory;customizeConnector(Connector);[240, 241, 242, 243, 244, 246, 247, 248, 249];[228];Added an if condition that has an asset in its body. One method call to configureSsl and two set method calls to connector;Added a wildcard to the generic of the AbstractProtocol class which is used as a casting;No;False;LEFT modifies the connector’s later configuration (e.g., SSL setup, bindOnInit, scheme/secure, and running connector customizers), while RIGHT changes an earlier, separate line (likely address or URI encoding). These touch different aspects of Connector configuration and do not override each other. The merged result preserves both behaviors with no state element computed inconsistently.
90;storm;ad2be678831b3b060229fd936e3908110162b7ac;org.apache.storm.kafka.spout.KafkaSpout;open(Map, TopologyContext, SpoutOutputCollector);[];[118, 102];Left removes the assignment value to field maxRetries, which was also removed by Left.;Right assigns a value for field refreshSubscriptionTimer, which was also added by Right.;No;False;Left made no changes to the open method. Right changed two lines (likely timer/initialization details). Since only Right modified this area, the merge preserves Right’s behavior and does not interfere with Left or the base behavior. No state elements produce divergent values between B, L, R, and the Merge.
91;storm;ad2be678831b3b060229fd936e3908110162b7ac;org.apache.storm.kafka.spout.KafkaSpoutConfig;KafkaSpoutConfig(Builder<K,V>);[];[435, 436, 437, 438, 439, 440, 441, 430, 431];Left removes the assignment for field maxRetries, and also its declaration.;Right removes four fields and adds seven fields with their assignment.;No;False;LEFT made no changes. RIGHT modified the KafkaSpoutConfig(Builder<K,V>) area (e.g., assignments/initializations). With no competing edits from LEFT, the merge results in RIGHT’s behavior, so no interference or loss of behavior occurs.
92;storm;ad2be678831b3b060229fd936e3908110162b7ac;org.apache.storm.kafka.spout.KafkaSpoutConfig;toString();[];[515, 516, 521, 522];"Left removes the field and reference for maxRetries of the returning string from the method toString();";Right performs a refactoring involving the references for key and value variables. It updates how the variable values are accessed (now using get methods instead of directly accessing the values). Right also removes references to the field: kafkaSpoutStreams, tuplesBuilder, topics, and topicWildcardPattern. Finally, it adds reference for subscription and translator.;Yes;False;LEFT made no changes to toString(). RIGHT modified toString() (e.g., how deserializers are displayed or adding fields like partitionRefreshPeriodMs), affecting only the string representation. No overlapping edits or behavioral/state changes exist, so the merged result preserves RIGHT’s changes and LEFT’s no-op.
93;storm;bd1f5c54752f67b484a83c26667331234234d3a3;org.apache.storm.kafka.spout.KafkaSpout;emitTupleIfNotEmitted(ConsumerRecord<K,V>);[305, 306, 307, 312];[316, 319];"Left performs a refactoring extracting a variable of an IF statement; it also changes another IF condition.";Right updates the method signature changing its return type for boolean and adds return statements.;No;False;Left refines the skip logic around already-acked/emitted records (guarding acked lookups), while Right adjusts the emission path (e.g., only accounting/returning true when a tuple is actually emitted). These changes affect orthogonal concerns (dedup vs. emission/accounting) and compose without altering each other’s intended behavior or the base behavior.
94;swagger-core;e7fea7c4889dbdd6a4e0b2d059c8aa0f126ab1c2;io.swagger.jaxrs2.OperationParser;getSchemaFromAnnotation(io.swagger.oas.annotations.media.Schema);[240, 241, 234, 235, 236, 237, 238, 239];[244, 187, 188];Left adds two IF statements, which may set some fields on object schemaObject.;Right renames three methods _enum() to allowableValues(), and _default() to defaultValue;No;False;"LEFT fixes the maxLength/maxProperties handling in getSchemaFromAnnotation, likely setting the correct fields (and isEmpty) when these constraints are present. RIGHT adjusts other parts of the same method (e.g., around numeric bounds/other flags), likely marking the schema as non-empty when maximum/minimum or similar attributes are provided and possibly cleaning duplicate example handling. The changes target different attributes/conditions and are additive; the merged result preserves LEFT’s corrected handling of length/properties and RIGHT’s enhancements for other fields. No altered behavior from either side is lost, and unchanged base behavior is not broken."
95;titan;387c16ea05ef9fa312f37139228d2bbf61455ff4;com.thinkaurelius.titan.graphdb.database.serialize.SerializerInitialization;initialize(Serializer);[52, 53, 54, 55, 57];[31];Left adds and removes calls for method registerClass of serialize object, that registers new classes in the registrations hashmap.;Right changes one call for method registerClass by adding a new parameter (instead of only two), and this new parameter will be added into headers hashmap.;No;False;Left modifies registrations near the end: adds/adjusts serializers for Parameter, Parameter[], IndexParameters, IndexParameters[] and updates the ID-allocation precondition. Right changes the registration for byte[] at KRYO_OFFSET + 12 (likely serializer implementation). These affect different types/IDs and do not overlap or change KRYO_OFFSET. The merged result preserves both behaviors with unique IDs, so no semantic interference.
96;titan;04edd7f0e7eab2e8255a497922e34dc707d84c19;com.thinkaurelius.titan.graphdb.transaction.StandardTitanTx;StandardTitanTx(StandardTitanGraph, TransactionConfiguration, BackendTransaction);[182, 183];[197, 198, 199];Left created three private final type attributes and assigned two of them with a constructor within the method.;Right added a conditional and used other statements: config.getMetricsPrefix() and MetricManager.INSTANCE.getCounter(config.getMetricsPrefix());No;False;LEFT modifies early constructor initialization (likely the uniqueLocks/deletedRelations sentinel assignments). RIGHT changes later lines in the constructor (likely metrics/flag setup). They touch disjoint concerns and don’t change the logic relied on by the other side. The merged constructor preserves both behaviors without altering computed state values relative to LEFT or RIGHT, so there is no semantic interference.
97;voldemort;b30fdfebe30c9b6e37b9fbc3fec0ff74cd19f997;voldemort.VoldemortClientShell;VoldemortClientShell(ClientConfig, String, BufferedReader, PrintStream, PrintStream);[123];[128, 127];Left changed the parameters for the constructor of the adminClient object, inserting the reference passed by parameter instead of a new object.;Right created a local variable called 'cluster' that access the 'adminClient' attribute and assigned a 'RoutingStrategyFactory' object to routingStrategy, passing the created variable.;Yes;False;LEFT tweaks initialization in the constructor (e.g., obtaining admin client/store definition), while RIGHT adds initialization of routingStrategy by retrieving the cluster from adminClient and using storeDef. RIGHT’s new lines depend on objects initialized by LEFT but do not modify them. The merged code preserves LEFT’s behavior (admin client/storeDef setup) and adds RIGHT’s behavior (routing strategy setup for preflist) without changing existing semantics or shared state values.
98;voldemort;4cc1c145819030c8e2baffe4c92383de14b8d880;voldemort.server.VoldemortConfig;VoldemortConfig(Props);[359];[448, 455];Inserted a change to the readOnlyLoginIntervalMs attribute using the the object 'props' passed by parameter and the method getLong.;Inserted changes to the attributes nioConnectorKeepAlive and nioAdminConnectorKeepAlive, using the props object passed by parameter and the getBoolean methods and two different strings.;No;False;Left adjusts the server-routing configuration default (enable.server.routing) in the constructor, while Right changes client timeout initialization (using a long for the GET_VERSIONS timeout). These affect different configuration fields and code paths, so their behaviors do not interfere and are preserved when merged.
99;webbit;74d2d2b87704d003acacb34e4ca8fb5f897b938f;org.webbitserver.netty.WebSocketClient;adjustPipelineToWebSocket(ChannelHandlerContext, MessageEvent, ChannelHandler, ChannelHandler);[260];[262];Left sets the version of webSockectConnection object calling the method setHybiWebSocketVersion.;"Right changes the order of parameters used to create the local variable webSocketChannelHandler; so it's a refactoring.";No;False;Both changes adjust different steps in the pipeline switch-over after the WebSocket handshake. LEFT modifies the replacement related to the HTTP decoder, while RIGHT modifies a different pipeline element (e.g., encoder/handler) on another line. These are orthogonal updates to the same upgrade sequence and can coexist without altering each other's intended behavior. The merged pipeline still installs the WebSocket decoder, encoder, and handler correctly, preserving both sides' behavior and the base semantics.
